id,latitude,longitude
1,33.75864,-84.46778
2,33.78431,-84.38214
3,33.83881,-84.42531
4,33.95305,-84.36886
5,33.75557,-84.36844
6,33.9192,-84.32274
7,33.78223,-84.34329
8,33.74093,-84.32536
9,33.77765,-84.3388
10,33.8203,-84.3622
11,33.7786,-84.485
12,33.82194,-84.33202
13,33.76948,-84.33596
14,33.75099,-84.31252
15,33.8314,-84.3851
16,33.81595,-84.35245
17,33.83946,-84.28996
18,33.92962,-84.40126
19,33.77783,-84.35344
20,33.7433,-84.3785
21,33.8203,-84.3622
22,33.7254,-84.52881
23,33.87019,-84.22805
24,33.7433,-84.3785
25,33.79149,-84.34083
26,33.7183,-84.3262
27,33.78624,-84.31717
28,33.7698,-84.328
29,33.78531,-84.3412
30,33.7698,-84.328
31,33.8252,-84.3197
32,33.84973,-84.35834
33,33.77309,-84.37561
34,33.7183,-84.3262
35,33.9386,-84.3168
36,33.92177,-84.42666
37,33.80183,-84.39543
38,33.9697,-84.28235
39,33.76557,-84.35182
40,33.89099,-84.33675
41,33.9278,-84.3442
42,33.8203,-84.3622
43,33.81971,-84.37556
44,33.90711,-84.31579
45,33.7865,-84.3492
46,33.7126,-84.5323
47,33.788,-84.3857
48,33.88854,-84.23817
49,33.8912,-84.2508
50,33.7877,-84.4436
51,33.73323,-84.35194
52,33.89613,-84.35732
53,33.9339,-84.3869
54,33.71097,-84.41591
55,33.79211,-84.31175
56,33.8203,-84.3622
57,33.74398,-84.48081
58,33.7698,-84.328
59,33.7697,-84.3772
60,33.83838,-84.29314
61,33.87166,-84.42891
62,33.8716,-84.46761
63,33.7698,-84.328
64,33.7698,-84.328
65,33.76558,-84.3395
66,33.8755,-84.3334
67,33.77728,-84.37559
68,33.7558,-84.4272
69,33.80665,-84.37263
70,33.7433,-84.3785
71,33.78207,-84.37895
72,33.8505,-84.2864
73,33.8505,-84.2864
74,33.7865,-84.3492
75,33.7506,-84.3877
76,33.7865,-84.3492
77,33.9758,-84.3253
78,33.87957,-84.27608
79,33.7183,-84.3262
80,33.7569,-84.31765
81,33.76745,-84.34159
82,33.6689,-84.4583
83,33.70831,-84.57005
84,33.83618,-84.38256
85,33.7083,-84.3841
86,33.7506,-84.3877
87,33.78545,-84.37964
88,33.79043,-84.35449
89,33.8252,-84.3197
90,33.8505,-84.2864
91,33.8755,-84.3334
92,33.7126,-84.5323
93,33.72356,-84.47141
94,33.86181,-84.28678
95,33.8755,-84.3334
96,33.90706,-84.42268
97,33.82821,-84.42112
98,33.7865,-84.3492
99,33.7558,-84.4272
100,33.8252,-84.3197
101,33.8979,-84.3066
102,33.8252,-84.3197
103,33.8252,-84.3197
104,33.75757,-84.38231
105,33.8252,-84.3197
106,33.77779,-84.3823
107,33.7126,-84.5323
108,33.75766,-84.35652
109,33.7183,-84.3262
110,33.6142,-84.4971
111,33.7126,-84.5323
112,33.76732,-84.3249
113,33.78913,-84.31157
114,33.85397,-84.30547
115,33.7912,-84.3249
116,33.77323,-84.31969
117,33.70379,-84.47353
118,33.74829,-84.28809
119,33.85938,-84.31857
120,33.74896,-84.33034
121,33.83203,-84.35818
122,33.7183,-84.3262
123,33.788,-84.3857
124,33.7183,-84.3262
125,33.8912,-84.2508
126,33.7877,-84.4436
127,33.8227,-84.3205
128,33.788,-84.3857
129,33.7183,-84.3262
130,33.8505,-84.2864
131,33.7697,-84.3772
132,33.8505,-84.2864
133,33.75,-84.314
134,33.7865,-84.3492
135,33.6689,-84.4583
136,33.8314,-84.3851
137,33.788,-84.3857
138,33.7877,-84.4436
139,33.7433,-84.3785
140,33.8912,-84.2508
141,33.87954,-84.22207
142,33.8314,-84.3851
143,33.7698,-84.328
144,33.8203,-84.3622
145,33.8437,-84.29425
146,33.86872,-84.25139
147,33.81391,-84.35572
148,33.6142,-84.4971
149,33.7183,-84.3262
150,33.73855,-84.36613
151,33.80879,-84.34076
152,33.7642,-84.3953
153,33.8622,-84.4704
154,33.8314,-84.3851
155,33.8622,-84.4704
